MOS-CEC2012_4_100.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 10000 , 3.72e+02, 3.11e+02, 2.82e+02, 1.95e+02, 3.31e+02, 3.36e+02, 3.21e+02, 3.13e+02, 3.06e+02, 3.86e+02, 3.04e+02, 3.08e+02, 3.42e+02, 3.11e+02, 2.00e+02, 2.24e+02, 2.82e+02, 3.13e+02, 3.56e+02, 2.57e+02, 3.41e+02, 2.81e+02, 2.92e+02, 3.12e+02, 2.61e+02, 3.41e+02, 2.76e+02, 2.75e+02, 2.87e+02, 2.23e+02, 3.63e+02, 2.52e+02, 2.70e+02, 2.87e+02, 2.44e+02, 2.75e+02, 3.15e+02, 3.02e+02, 2.82e+02, 3.20e+02, 2.67e+02, 2.98e+02, 2.56e+02, 2.67e+02, 3.15e+02, 2.58e+02, 3.31e+02, 3.07e+02, 3.56e+02, 2.85e+02, 3.44e+02
Function error values when FEs = 20000 , 3.06e+02, 2.96e+02, 2.59e+02, 1.75e+02, 3.00e+02, 2.35e+02, 2.61e+02, 2.74e+02, 2.85e+02, 3.54e+02, 2.51e+02, 2.98e+02, 2.44e+02, 2.65e+02, 1.98e+02, 2.16e+02, 2.73e+02, 3.10e+02, 2.76e+02, 2.53e+02, 2.74e+02, 2.44e+02, 2.08e+02, 3.06e+02, 2.56e+02, 3.27e+02, 2.65e+02, 2.67e+02, 2.75e+02, 2.19e+02, 2.97e+02, 2.30e+02, 2.61e+02, 2.71e+02, 1.74e+02, 2.72e+02, 2.93e+02, 2.59e+02, 2.68e+02, 2.60e+02, 2.53e+02, 2.81e+02, 2.10e+02, 2.52e+02, 3.05e+02, 2.53e+02, 2.52e+02, 2.19e+02, 3.05e+02, 2.78e+02, 3.27e+02
Function error values when FEs = 30000 , 3.02e+02, 2.77e+02, 2.41e+02, 1.74e+02, 2.83e+02, 2.13e+02, 2.54e+02, 2.58e+02, 2.73e+02, 2.89e+02, 2.48e+02, 2.67e+02, 2.13e+02, 2.55e+02, 1.97e+02, 2.13e+02, 2.68e+02, 3.09e+02, 1.85e+02, 2.53e+02, 2.68e+02, 2.43e+02, 2.02e+02, 3.01e+02, 2.53e+02, 3.21e+02, 2.57e+02, 2.60e+02, 2.65e+02, 2.13e+02, 2.95e+02, 2.28e+02, 1.95e+02, 2.69e+02, 1.73e+02, 2.64e+02, 2.65e+02, 2.56e+02, 2.41e+02, 2.59e+02, 2.20e+02, 2.68e+02, 2.00e+02, 2.51e+02, 2.77e+02, 2.51e+02, 2.43e+02, 2.11e+02, 3.03e+02, 2.76e+02, 3.10e+02
Function error values when FEs = 50000 , 2.86e+02, 1.72e+02, 2.35e+02, 1.72e+02, 2.35e+02, 2.07e+02, 2.24e+02, 2.53e+02, 2.63e+02, 1.72e+02, 2.46e+02, 2.38e+02, 2.01e+02, 2.05e+02, 1.97e+02, 2.05e+02, 2.65e+02, 3.08e+02, 1.77e+02, 2.52e+02, 2.56e+02, 1.83e+02, 1.98e+02, 2.44e+02, 2.48e+02, 3.01e+02, 2.49e+02, 2.55e+02, 2.47e+02, 1.91e+02, 2.91e+02, 2.25e+02, 1.90e+02, 2.67e+02, 1.72e+02, 2.14e+02, 2.14e+02, 2.54e+02, 2.34e+02, 2.58e+02, 2.08e+02, 1.82e+02, 1.81e+02, 2.50e+02, 2.61e+02, 2.48e+02, 2.31e+02, 2.04e+02, 2.92e+02, 2.63e+02, 2.24e+02
Function error values when FEs = 100000 , 2.20e+02, 1.63e+02, 2.16e+02, 1.67e+02, 1.96e+02, 1.97e+02, 2.24e+02, 1.86e+02, 2.59e+02, 1.66e+02, 2.41e+02, 2.32e+02, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 2.64e+02, 2.42e+02, 1.71e+02, 2.50e+02, 2.45e+02, 1.80e+02, 1.97e+02, 2.30e+02, 2.40e+02, 2.89e+02, 2.40e+02, 2.47e+02, 1.97e+02, 1.85e+02, 2.78e+02, 2.22e+02, 1.74e+02, 2.65e+02, 1.69e+02, 1.97e+02, 1.85e+02, 2.49e+02, 2.25e+02, 2.54e+02, 2.01e+02, 1.14e+02, 1.69e+02, 2.45e+02, 2.48e+02, 2.08e+02, 1.91e+02, 1.98e+02, 2.17e+02, 2.54e+02, 2.05e+02
Function error values when FEs = 200000 , 7.91e+01, 8.28e+01, 2.12e+02, 9.21e+01, 1.91e+02, 1.96e+02, 2.23e+02, 1.78e+02, 2.47e+02, 8.48e+01, 1.86e+02, 2.23e+02, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 2.57e+02, 1.79e+02, 1.65e+02, 2.40e+02, 1.61e+02, 1.75e+02, 1.97e+02, 1.19e+02, 2.27e+02, 2.55e+02, 2.27e+02, 2.06e+02, 1.97e+02, 1.77e+02, 1.41e+02, 2.12e+02, 1.53e+02, 2.61e+02, 1.61e+02, 1.97e+02, 1.78e+02, 2.41e+02, 2.22e+02, 2.38e+02, 2.01e+02, 9.51e+01, 1.59e+02, 2.32e+02, 2.41e+02, 9.91e+01, 1.84e+02, 1.90e+02, 2.16e+02, 2.40e+02, 8.58e+01
Function error values when FEs = 300000 , 7.31e+01, 7.53e+01, 2.12e+02, 8.46e+01, 1.88e+02, 1.96e+02, 2.23e+02, 1.71e+02, 2.37e+02, 7.54e+01, 8.21e+01, 2.02e+02, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 1.80e+02, 1.70e+02, 1.62e+02, 1.82e+02, 1.52e+02, 1.67e+02, 1.97e+02, 6.99e+01, 1.50e+02, 2.51e+02, 1.54e+02, 1.77e+02, 1.97e+02, 1.71e+02, 7.30e+01, 2.00e+02, 1.43e+02, 2.53e+02, 1.48e+02, 1.97e+02, 1.73e+02, 2.30e+02, 2.22e+02, 2.21e+02, 2.01e+02, 8.06e+01, 1.39e+02, 9.57e+01, 1.70e+02, 8.06e+01, 1.77e+02, 1.85e+02, 2.16e+02, 2.21e+02, 7.34e+01
Function error values when FEs = 400000 , 6.86e+01, 5.84e+01, 2.12e+02, 7.64e+01, 1.86e+02, 1.96e+02, 2.23e+02, 1.62e+02, 2.11e+02, 7.10e+01, 7.62e+01, 1.27e+02, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 1.74e+02, 1.60e+02, 1.57e+02, 1.75e+02, 1.22e+02, 1.62e+02, 1.97e+02, 2.71e-01, 7.50e+01, 2.50e+02, 1.44e+02, 1.64e+02, 1.97e+02, 1.60e+02, 6.92e+01, 1.88e+02, 7.18e+01, 1.82e+02, 1.40e+02, 1.97e+02, 1.64e+02, 1.58e+02, 2.22e+02, 8.59e+01, 2.01e+02, 7.30e+01, 1.31e+02, 8.10e+01, 9.33e+01, 7.27e+01, 1.70e+02, 1.84e+02, 2.16e+02, 7.87e+01, 6.80e+01
Function error values when FEs = 500000 , 4.08e-02, 4.04e+00, 2.12e+02, 5.85e+01, 1.86e+02, 1.96e+02, 2.23e+02, 1.50e+02, 1.36e+02, 6.69e+01, 7.12e+01, 8.73e+01, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 1.69e+02, 8.67e+01, 1.34e+02, 1.69e+02, 7.11e+01, 8.63e+01, 1.97e+02, 1.11e-01, 6.96e+01, 2.48e+02, 7.33e+01, 1.43e+02, 1.97e+02, 9.50e+01, 2.47e-02, 1.88e+02, 6.67e+01, 1.77e+02, 6.71e+01, 1.97e+02, 1.54e+02, 8.09e+01, 2.22e+02, 8.24e+01, 2.01e+02, 6.74e+01, 1.15e+02, 7.61e+01, 8.67e+01, 6.80e+01, 1.64e+02, 1.84e+02, 2.16e+02, 7.29e+00, 3.14e-02
Function error values when FEs = 600000 , 2.83e-02, 4.02e+00, 2.12e+02, 4.08e+00, 1.86e+02, 1.96e+02, 2.23e+02, 7.71e+01, 8.05e+01, 1.52e-01, 6.71e+01, 1.15e+01, 2.00e+02, 2.03e+02, 1.97e+02, 2.03e+02, 1.61e+02, 8.36e+01, 7.95e+01, 1.06e+02, 4.04e+00, 7.89e+01, 1.97e+02, 5.12e-02, 1.44e-02, 2.47e+02, 4.26e+00, 1.32e+02, 1.97e+02, 7.98e+01, 1.65e-02, 1.88e+02, 5.82e-02, 1.69e+02, 2.30e-03, 1.97e+02, 8.89e+01, 7.60e+01, 2.22e+02, 7.66e+01, 2.01e+02, 7.22e-02, 5.47e+01, 7.12e+01, 6.93e+01, 5.55e-02, 1.58e+02, 1.84e+02, 2.16e+02, 4.67e+00, 2.15e-02
