MOS-SOCO2011_3_100.csv , Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Run 10, Run 11, Run 12, Run 13, Run 14, Run 15, Run 16, Run 17, Run 18, Run 19, Run 20, Run 21, Run 22, Run 23, Run 24, Run 25, Run 26, Run 27, Run 28, Run 29, Run 30, Run 31, Run 32, Run 33, Run 34, Run 35, Run 36, Run 37, Run 38, Run 39, Run 40, Run 41, Run 42, Run 43, Run 44, Run 45, Run 46, Run 47, Run 48, Run 49, Run 50, Run 51
Function error values when FEs = 10000 , 7.32e+05, 8.35e+05, 6.02e+05, 7.80e+05, 6.18e+05, 7.29e+05, 8.76e+05, 7.74e+05, 7.45e+05, 6.83e+05, 6.47e+05, 7.67e+05, 6.85e+05, 6.43e+05, 6.90e+05, 8.22e+05, 7.60e+05, 7.59e+05, 6.71e+05, 7.12e+05, 6.31e+05, 7.81e+05, 6.94e+05, 7.87e+05, 7.49e+05, 6.68e+05, 8.29e+05, 5.72e+05, 8.22e+05, 6.40e+05, 7.89e+05, 6.88e+05, 7.34e+05, 7.29e+05, 6.15e+05, 6.81e+05, 7.92e+05, 6.78e+05, 6.83e+05, 7.80e+05, 7.44e+05, 6.64e+05, 6.34e+05, 7.66e+05, 7.43e+05, 6.77e+05, 6.58e+05, 6.53e+05, 7.84e+05, 7.82e+05, 6.80e+05
Function error values when FEs = 20000 , 7.20e+05, 8.23e+05, 5.88e+05, 7.69e+05, 5.91e+05, 7.05e+05, 8.35e+05, 7.53e+05, 7.25e+05, 6.71e+05, 6.14e+05, 7.46e+05, 6.62e+05, 6.31e+05, 6.80e+05, 7.91e+05, 7.01e+05, 7.40e+05, 6.60e+05, 6.98e+05, 6.21e+05, 7.70e+05, 6.80e+05, 7.75e+05, 7.20e+05, 6.29e+05, 8.21e+05, 5.63e+05, 8.03e+05, 6.29e+05, 7.82e+05, 6.76e+05, 7.16e+05, 7.11e+05, 5.79e+05, 6.60e+05, 7.74e+05, 6.63e+05, 6.72e+05, 7.53e+05, 7.34e+05, 6.25e+05, 6.16e+05, 7.50e+05, 7.30e+05, 6.70e+05, 6.52e+05, 6.38e+05, 7.67e+05, 7.71e+05, 6.55e+05
Function error values when FEs = 30000 , 7.02e+05, 7.78e+05, 5.80e+05, 7.46e+05, 5.72e+05, 6.95e+05, 8.14e+05, 7.41e+05, 7.17e+05, 6.56e+05, 6.05e+05, 7.25e+05, 6.43e+05, 6.29e+05, 6.77e+05, 7.75e+05, 6.74e+05, 7.25e+05, 6.54e+05, 6.91e+05, 6.06e+05, 7.62e+05, 6.64e+05, 7.70e+05, 7.12e+05, 6.14e+05, 8.00e+05, 5.57e+05, 7.89e+05, 6.10e+05, 7.65e+05, 6.54e+05, 6.98e+05, 6.98e+05, 5.56e+05, 6.45e+05, 7.60e+05, 6.39e+05, 6.66e+05, 7.47e+05, 6.90e+05, 6.08e+05, 6.11e+05, 7.41e+05, 7.14e+05, 6.65e+05, 6.28e+05, 6.28e+05, 7.45e+05, 7.53e+05, 6.47e+05
Function error values when FEs = 50000 , 6.81e+05, 7.24e+05, 5.63e+05, 7.02e+05, 5.41e+05, 6.69e+05, 7.86e+05, 7.13e+05, 7.00e+05, 6.22e+05, 5.96e+05, 6.86e+05, 6.08e+05, 6.13e+05, 6.47e+05, 7.25e+05, 6.29e+05, 7.04e+05, 6.15e+05, 6.46e+05, 5.94e+05, 7.52e+05, 6.24e+05, 7.47e+05, 6.50e+05, 5.89e+05, 7.58e+05, 5.33e+05, 7.70e+05, 5.74e+05, 7.39e+05, 6.23e+05, 6.78e+05, 6.68e+05, 5.29e+05, 6.16e+05, 7.11e+05, 5.92e+05, 6.28e+05, 7.10e+05, 6.79e+05, 5.60e+05, 5.74e+05, 7.29e+05, 6.59e+05, 6.41e+05, 6.18e+05, 6.15e+05, 7.08e+05, 7.10e+05, 6.21e+05
Function error values when FEs = 100000 , 6.26e+05, 5.99e+05, 5.30e+05, 5.87e+05, 4.94e+05, 5.45e+05, 7.09e+05, 6.74e+05, 6.69e+05, 5.85e+05, 5.65e+05, 6.26e+05, 5.62e+05, 5.99e+05, 5.90e+05, 6.13e+05, 5.94e+05, 6.26e+05, 5.63e+05, 6.22e+05, 5.49e+05, 7.06e+05, 5.88e+05, 7.12e+05, 5.84e+05, 5.07e+05, 7.06e+05, 4.92e+05, 7.49e+05, 5.01e+05, 7.20e+05, 5.90e+05, 5.95e+05, 6.04e+05, 4.72e+05, 5.72e+05, 6.61e+05, 5.03e+05, 5.78e+05, 6.61e+05, 6.26e+05, 5.13e+05, 5.15e+05, 7.14e+05, 6.16e+05, 5.98e+05, 5.59e+05, 5.77e+05, 6.68e+05, 6.68e+05, 6.02e+05
Function error values when FEs = 200000 , 5.53e+05, 5.11e+05, 4.15e+05, 5.18e+05, 4.16e+05, 4.59e+05, 6.43e+05, 6.45e+05, 6.21e+05, 5.33e+05, 5.15e+05, 5.52e+05, 4.87e+05, 5.28e+05, 5.07e+05, 4.98e+05, 4.65e+05, 5.06e+05, 4.90e+05, 5.81e+05, 4.55e+05, 6.38e+05, 5.15e+05, 5.51e+05, 5.17e+05, 3.67e+05, 6.66e+05, 4.61e+05, 7.10e+05, 4.14e+05, 6.77e+05, 5.56e+05, 5.35e+05, 5.30e+05, 3.85e+05, 5.38e+05, 6.03e+05, 4.73e+05, 5.28e+05, 6.08e+05, 5.10e+05, 4.41e+05, 4.72e+05, 6.74e+05, 5.58e+05, 5.31e+05, 4.80e+05, 5.04e+05, 5.43e+05, 5.67e+05, 5.64e+05
Function error values when FEs = 300000 , 5.08e+05, 4.63e+05, 3.90e+05, 4.51e+05, 3.93e+05, 4.27e+05, 6.08e+05, 5.67e+05, 5.80e+05, 5.09e+05, 4.83e+05, 5.18e+05, 4.12e+05, 5.02e+05, 4.71e+05, 4.33e+05, 4.29e+05, 4.81e+05, 4.55e+05, 5.15e+05, 4.24e+05, 5.76e+05, 4.94e+05, 4.89e+05, 4.98e+05, 3.04e+05, 6.39e+05, 4.30e+05, 6.89e+05, 3.81e+05, 6.48e+05, 4.89e+05, 5.18e+05, 4.83e+05, 3.35e+05, 5.09e+05, 5.82e+05, 4.46e+05, 4.85e+05, 5.12e+05, 4.76e+05, 4.11e+05, 4.16e+05, 6.61e+05, 5.12e+05, 4.92e+05, 4.14e+05, 4.55e+05, 5.01e+05, 5.00e+05, 5.38e+05
Function error values when FEs = 400000 , 4.94e+05, 4.39e+05, 3.66e+05, 4.23e+05, 3.46e+05, 4.06e+05, 5.92e+05, 5.40e+05, 4.99e+05, 4.65e+05, 4.69e+05, 4.86e+05, 3.92e+05, 4.82e+05, 4.58e+05, 4.06e+05, 4.10e+05, 4.29e+05, 3.93e+05, 4.57e+05, 3.80e+05, 5.32e+05, 3.86e+05, 4.43e+05, 4.62e+05, 2.68e+05, 6.18e+05, 3.98e+05, 6.37e+05, 3.50e+05, 5.90e+05, 4.70e+05, 4.90e+05, 4.45e+05, 2.94e+05, 5.00e+05, 5.49e+05, 4.18e+05, 4.62e+05, 4.60e+05, 4.44e+05, 3.77e+05, 3.81e+05, 6.32e+05, 4.90e+05, 4.62e+05, 3.82e+05, 4.20e+05, 4.51e+05, 4.49e+05, 5.17e+05
Function error values when FEs = 500000 , 4.52e+05, 4.21e+05, 3.47e+05, 4.06e+05, 3.18e+05, 3.92e+05, 5.37e+05, 4.88e+05, 4.18e+05, 4.12e+05, 4.27e+05, 4.76e+05, 3.64e+05, 4.49e+05, 4.22e+05, 3.74e+05, 3.91e+05, 4.11e+05, 3.63e+05, 4.27e+05, 3.52e+05, 5.18e+05, 2.95e+05, 4.35e+05, 4.37e+05, 2.45e+05, 5.49e+05, 3.29e+05, 5.79e+05, 3.41e+05, 5.47e+05, 4.17e+05, 4.59e+05, 4.24e+05, 2.72e+05, 4.92e+05, 4.74e+05, 3.79e+05, 4.29e+05, 4.27e+05, 4.12e+05, 3.56e+05, 3.61e+05, 6.09e+05, 4.81e+05, 4.54e+05, 3.61e+05, 3.76e+05, 4.18e+05, 4.27e+05, 4.49e+05
Function error values when FEs = 600000 , 4.36e+05, 3.80e+05, 3.39e+05, 3.66e+05, 2.99e+05, 3.88e+05, 4.74e+05, 4.64e+05, 3.96e+05, 3.82e+05, 3.80e+05, 4.69e+05, 3.53e+05, 4.41e+05, 3.99e+05, 3.42e+05, 3.69e+05, 3.98e+05, 3.49e+05, 4.20e+05, 3.29e+05, 5.13e+05, 2.78e+05, 4.02e+05, 4.04e+05, 2.35e+05, 5.12e+05, 3.12e+05, 5.49e+05, 3.32e+05, 5.26e+05, 3.99e+05, 4.48e+05, 4.10e+05, 2.61e+05, 4.51e+05, 4.55e+05, 3.63e+05, 4.14e+05, 4.12e+05, 4.02e+05, 3.41e+05, 3.50e+05, 5.90e+05, 4.53e+05, 4.16e+05, 3.34e+05, 3.63e+05, 4.11e+05, 4.18e+05, 4.06e+05
