"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
701.03305,549.30118,477.70981,477.70981,395.81288,395.81288,262.71725,146.88944,139.25441,137.05152,135.13234,134.87046,133.98796,133.84957
675.53725,556.86318,556.86318,500.28373,499.77608,478.40714,428.17992,408.13128,340.81852,215.12006,197.67319,182.07042,176.622,176.06244
721.10271,623.43187,530.09221,521.70398,484.52836,348.81619,170.76767,166.44012,165.85763,165.24989,164.79797,164.7647,164.72428,164.68801
667.60493,584.03139,557.15635,510.30705,489.50343,431.48012,426.15808,411.71615,374.28549,330.7728,213.75228,191.73238,181.34114,178.67689
683.18376,505.47002,505.47002,505.47002,484.41026,454.90895,404.83037,403.846,402.57737,359.28669,239.36124,193.33118,191.5169,191.07615
702.37421,589.95387,565.74481,560.59529,509.92464,491.87129,454.74473,409.1602,292.40848,202.33931,188.57406,184.79765,182.91291,182.55108
678.23095,546.55126,472.52528,472.52528,466.41214,444.86098,418.26093,404.39905,379.48395,199.00705,136.91705,129.64324,126.77323,125.99488
683.25205,637.00364,593.46391,529.21871,487.25889,430.97893,381.05587,221.88132,208.57843,202.9733,202.20877,202.03513,201.99908,201.98779
691.26259,586.51795,561.17693,521.92839,512.89736,477.81995,474.71196,443.04158,443.04158,424.22047,393.25281,251.15244,190.72605,188.72218
630.75601,474.90978,474.90978,433.31016,420.19964,320.88377,158.31115,134.89338,130.27005,129.43143,124.08637,122.65323,122.25606,122.01404
712.01584,548.69172,487.20289,487.20289,487.20289,464.48239,433.58045,253.22652,217.19019,206.0084,203.7995,198.82347,198.55189,198.28233
679.67143,578.39594,562.76015,502.88131,498.65811,485.84915,329.88056,217.61614,209.09174,206.07569,203.62464,200.60595,199.14222,198.95565
706.49277,605.23263,598.9827,561.06739,522.8212,450.1894,281.86415,219.09654,212.65495,210.45467,210.30462,208.05455,207.53406,207.40992
697.85362,587.3337,537.92524,484.84595,424.37467,424.37467,378.39271,313.14024,165.13222,146.27324,138.77338,137.55547,137.45171,137.39338
726.38076,604.82237,576.65171,510.83457,475.70792,475.70792,445.14028,392.11123,377.51618,250.88193,216.46813,210.34898,204.47065,204.11859
643.96003,571.99952,535.33137,509.00452,449.29821,445.08647,388.8969,329.30611,203.40732,162.90983,159.6306,159.48178,159.13743,158.73524
723.22511,589.64467,542.96028,484.08823,484.08823,457.52,440.62932,408.45888,380.08037,302.31763,174.9565,168.78983,167.79335,163.33873
